Zone Name,Comment,Power,RX Freq,TX Freq,Color Code,Echotest,Local,PRN,Chat 1,Chat 2,PRN Clear
NC Ahoskie PRN; Ahoke,PRN,High,444.3375,449.3375,1,1,1,2,1,1,2
NC Boone PRN; Boone,PRN,High,443.0375,448.0375,1,1,1,2,1,1,2
NC Buxton; Bux,PRN,High,444.0625,449.0625,1,1,1,2,1,1,2
NC Cary; Cary,PRN,High,443.7875,448.7875,1,1,1,2,1,1,2
NC CLT; CLT,PRN,High,442.4125,447.4125,1,1,1,2,1,1,2
NC Englehard;Engl,PRN,High,442.4625,447.4625,1,1,1,2,1,1,2
NC Franklin;Frkln,PRN,High,444.2,449.2,1,1,1,2,1,1,2
NC Gastonia  PRN; GAS,PRN,High,443.9125,448.9125,1,1,1,2,1,1,2
NC Goldsboro; GOLD,PRN,High,442.3625,447.3625,1,1,1,2,1,1,2
NC Greenville; GRNVL,PRN,High,444.8,449.8,1,1,1,2,1,1,2
NC Hertferd; HRTFD,PRN,High,442.1625,447.1625,1,1,1,2,1,1,2
NC Hillsborough; HLLBH,PRN,High,443.1375,448.1375,1,1,1,2,1,1,2
NC Jacksonville; JAX,PRN,High,441.8375,446.8375,1,1,1,2,1,1,2
NC King; King,PRN,High,442.6375,447.6375,1,1,1,2,1,1,2
NC Lenoir; LEN,PRN,High,443.1875,448.1875,1,1,1,2,1,1,2
NC Mamie; MAM,PRN,High,442.85,447.85,1,1,1,2,1,1,2
NC Morehead City; MHEAD,PRN,High,444.975,449.975,1,1,1,2,1,1,2
NC Nags Head; NAGS,PRN,High,444.9875,449.9875,1,1,1,2,1,1,2
NC Nashville NC; NASH,PRN,High,442.6125,447.6125,1,1,1,2,1,1,2
NC Sanford; SAN,PRN,High,442.3375,447.3375,1,1,1,2,1,1,2
NC Southern Pines; SP,PRN,High,443.7626,448.7626,1,1,1,2,1,1,2
NC Spruce Pine; SPRP,PRN,High,443.3875,448.3875,1,1,1,2,1,1,2
NC Sugar PRN;SUGR,PRN,High,442.0875,447.0875,1,1,1,2,1,1,2
NC Sylva; SYL,PRN,High,442.975,447.975,1,1,1,2,1,1,2
NC West Jefferson; WJEFF,PRN,High,444.7375,449.7375,1,1,1,2,1,1,2
NC Wilkes; Wilks,PRN,High,440.5375,445.5375,1,1,1,2,1,1,2
NC Wilmington; ILM,PRN,High,444.2375,449.2375,1,1,1,2,1,1,2
NC Wilson; WILS,PRN,High,440.1,445.1,1,1,1,2,1,1,2
NC Wingate; WNGT,PRN,High,444.3875,449.3875,1,1,1,2,1,1,2
